subject_id,condition_order,condition,sub_block_1_target,sub_block_2_target,sub_block_3_target
sub-01,1,acoustic,8,4,0
sub-01,2,control,4,8,0
sub-01,3,chewing,4,0,8
sub-01,4,emi,4,8,0
sub-02,1,control,0,4,8
sub-02,2,chewing,8,0,4
sub-02,3,emi,0,4,8
sub-02,4,acoustic,4,8,0
sub-03,1,emi,8,0,4
sub-03,2,acoustic,8,4,0
sub-03,3,control,8,4,0
sub-03,4,chewing,8,0,4
sub-04,1,chewing,8,0,4
sub-04,2,emi,8,4,0
sub-04,3,acoustic,0,8,4
sub-04,4,control,0,4,8
sub-05,1,acoustic,4,0,8
sub-05,2,control,8,4,0
sub-05,3,chewing,8,4,0
sub-05,4,emi,0,8,4
sub-06,1,control,0,8,4
sub-06,2,chewing,4,0,8
sub-06,3,emi,0,8,4
sub-06,4,acoustic,0,4,8
sub-07,1,emi,0,8,4
sub-07,2,acoustic,4,8,0
sub-07,3,control,8,0,4
sub-07,4,chewing,8,4,0
sub-08,1,chewing,8,4,0
sub-08,2,emi,4,0,8
sub-08,3,acoustic,0,4,8
sub-08,4,control,4,0,8
sub-09,1,acoustic,0,4,8
sub-09,2,control,8,0,4
sub-09,3,chewing,0,8,4
sub-09,4,emi,4,8,0
sub-10,1,control,0,8,4
sub-10,2,chewing,0,4,8
sub-10,3,emi,4,0,8
sub-10,4,acoustic,4,0,8
sub-11,1,emi,8,0,4
sub-11,2,acoustic,0,4,8
sub-11,3,control,4,8,0
sub-11,4,chewing,8,0,4
sub-12,1,chewing,4,8,0
sub-12,2,emi,4,0,8
sub-12,3,acoustic,8,0,4
sub-12,4,control,0,4,8
sub-13,1,acoustic,0,4,8
sub-13,2,control,0,8,4
sub-13,3,chewing,4,0,8
sub-13,4,emi,4,0,8
sub-14,1,control,4,0,8
sub-14,2,chewing,0,4,8
sub-14,3,emi,4,0,8
sub-14,4,acoustic,8,4,0
sub-15,1,emi,4,0,8
sub-15,2,acoustic,0,8,4
sub-15,3,control,0,8,4
sub-15,4,chewing,0,8,4
sub-16,1,chewing,0,8,4
sub-16,2,emi,8,0,4
sub-16,3,acoustic,4,0,8
sub-16,4,control,4,8,0
sub-17,1,acoustic,8,4,0
sub-17,2,control,0,8,4
sub-17,3,chewing,4,8,0
sub-17,4,emi,4,0,8
sub-18,1,control,0,4,8
sub-18,2,chewing,0,4,8
sub-18,3,emi,0,4,8
sub-18,4,acoustic,4,8,0
sub-19,1,emi,4,0,8
sub-19,2,acoustic,8,0,4
sub-19,3,control,8,0,4
sub-19,4,chewing,8,4,0
sub-20,1,chewing,0,4,8
sub-20,2,emi,0,8,4
sub-20,3,acoustic,0,8,4
sub-20,4,control,8,0,4
sub-21,1,acoustic,0,4,8
sub-21,2,control,0,8,4
sub-21,3,chewing,0,8,4
sub-21,4,emi,8,0,4
sub-22,1,control,0,4,8
sub-22,2,chewing,4,0,8
sub-22,3,emi,8,4,0
sub-22,4,acoustic,4,8,0
sub-23,1,emi,8,4,0
sub-23,2,acoustic,0,8,4
sub-23,3,control,0,4,8
sub-23,4,chewing,4,8,0
